Events Name,Events Start Date Date,Event Type Name,Link to Event in Handshake
CaseCoach: Case Interview Foundations,9/9/25,Workshop,https://app.joinhandshake.com/edu/events/1756947
Ask a Peer: Small Talk in the U.S.,9/9/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1756459
On-Campus Employment for F-1 & J-1 Students,9/10/25,Workshop,https://app.joinhandshake.com/edu/events/1756990
Breaking Into Finance Without a Finance Degree Panel,9/10/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1756964
Doctoral and Postdoc Faculty Job Search Workshop and Panel,9/12/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1756070
"Finding Purpose, Need and Impact",9/16/25,Workshop,https://app.joinhandshake.com/edu/events/1776626
International Student Career Series: Job Searching for International Students,9/16/25,Workshop,https://app.joinhandshake.com/edu/events/1756993
Career Conversations: Consulting Careers,9/16/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1756974
Grad Level Interviewing,9/16/25,Workshop,https://app.joinhandshake.com/edu/events/1756743
Preparing for Internships in Nonprofits,9/17/25,Workshop,https://app.joinhandshake.com/edu/events/1756989
Off-Campus Employment Options for F-1 Students,9/18/25,Workshop,https://app.joinhandshake.com/edu/events/1758614
Writing a Resume for Research Positions,9/18/25,Workshop,https://app.joinhandshake.com/edu/events/1757338
Preparing for Technical Interviews,9/18/25,Workshop,https://app.joinhandshake.com/edu/events/1757081
"Crafting Job Application Materials for Roles in Media, Marketing, and Communications",9/22/25,Workshop,https://app.joinhandshake.com/edu/events/1757343
Ask an Alum: Launching Your Career,9/25/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1756506
LinkedIn Rock Your Profile,9/29/25,Workshop,https://app.joinhandshake.com/edu/events/1757318
International Student Career Series: Networking for International Students Panel,9/29/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757001
International Student Career Academy: Kickoff: Design Your Life Part 1,9/29/25,Workshop,https://app.joinhandshake.com/edu/events/1756804
What’s My Story and How Can I Tell It?,9/30/25,Workshop,https://app.joinhandshake.com/edu/events/1776638
Career Conversations: Data Careers,9/30/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757084
Presentation Competition: Orientation,9/30/25,Workshop,https://app.joinhandshake.com/edu/events/1756552
Grad Level Networking,10/1/25,Workshop,https://app.joinhandshake.com/edu/events/1756744
Biotech Careers Panel,10/6/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757341
International Student Career Academy: Design your Life Part 2,10/6/25,Workshop,https://app.joinhandshake.com/edu/events/1756824
Networking Reception: Connecting with International Alumni,10/7/25,Networking,https://app.joinhandshake.com/edu/events/1758622
Purpose & Pathways: Career Exploration for Grad Students,10/7/25,Workshop,https://app.joinhandshake.com/edu/events/1757314
Career Conversations: Private Sector Healthcare Careers,10/9/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757130
Social Impact Career Pathways Panel,10/14/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1777217
Job Searching Techniques for Introverts,10/16/25,Workshop,https://app.joinhandshake.com/edu/events/1758868
Career Conversations: Philanthropy and Foundations Careers,10/16/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757069
Grad Level Salary Negotiation,10/16/25,Workshop,https://app.joinhandshake.com/edu/events/1756745
International Student Career Academy: Understanding & Leveraging Communication Styles,10/20/25,Workshop,https://app.joinhandshake.com/edu/events/1756897
Doctoral and Postdoc Public/Private Sector Job Search Workshop and Panel,10/22/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1756074
Presentation Competition,10/23/25,Workshop,https://app.joinhandshake.com/edu/events/1756558
Preparing for the Global Career Expo,10/27/25,Workshop,https://app.joinhandshake.com/edu/events/1757896
International Student Career Academy: Emotional Intelligence & Mindfulness,10/27/25,Workshop,https://app.joinhandshake.com/edu/events/1756900
Career Conversations: International Public Health Careers,10/28/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757131
STEM Networking Night,10/28/25,Networking,https://app.joinhandshake.com/edu/events/1757088
Tips and Tricks for US Job Search,10/30/25,Workshop,https://app.joinhandshake.com/edu/events/1757897
Exploring Careers in Global Affairs Panel,10/30/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757127
Leading Meaningful Conversations,11/4/25,Workshop,https://app.joinhandshake.com/edu/events/1776642
"Media, Marketing, Communication Careers Networking Night",11/6/25,Networking,https://app.joinhandshake.com/edu/events/1757346
National First-Generation Day Graduate Student Brunch,11/7/25,Workshop,https://app.joinhandshake.com/edu/events/1757353
International Student Career Academy: End of Academy Celebration,11/7/25,Workshop,https://app.joinhandshake.com/edu/events/1756902
Employee Rights in the Workplace for International Students,11/10/25,Workshop,https://app.joinhandshake.com/edu/events/1757007
Sustainability Careers Panel,11/11/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757333
Ask a Hiring Manager: What Employers Look for in Candidates,11/11/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1756520
Networking Techniques for Introverts,11/12/25,Workshop,https://app.joinhandshake.com/edu/events/1758873
Advocacy and Nonprofit Panel,11/12/25,Speaker/Panel,https://app.joinhandshake.com/edu/events/1757077
Grant Writing 101,11/18/25,Workshop,https://app.joinhandshake.com/edu/events/1776645
Federal Jobs Workshop: Hiring Process & Resumes,11/20/25,Workshop,https://app.joinhandshake.com/edu/events/1757128
Storytelling Strategies for Graduate Student Career Transitions,12/2/25,Workshop,https://app.joinhandshake.com/edu/events/1757317
On-Campus Employment for F-1 & J-1 Students,12/16/25,Workshop,https://app.joinhandshake.com/edu/events/1757015
Roadmapping Your First Year for Career Success,12/17/25,Workshop,https://app.joinhandshake.com/edu/events/1758628
