imputed_data_NYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School,academic_division,Year,Job Relatedness,Salary,Benefits,Job security,Job location,Opportunity_for_advancement,Intellectual_challenge,Level_of_responsibility,Degree_of_independence, Contribution_to_society,Work-life_balance,Prestige_of_employer,Prestige_of_position/job title,Change_in_career,Achievement/effort,Adaptability/flexibility,Analytical_thinking,Attention_to_detail,Concern_for_others,Cooperation,Dependability,Independence,Initiative,Innovation,Integrity,Leadership,Persistence,Resilience,Rigor,Risk-taking,Self-control,Social_orientation,Stress_tolerance,Basic_research,Applied_research,Development,Applying_research,Awareness_cultural,Communicating_ideas,Conducting_research,Critically_analyzing_and_evaluating, Demonstrating_theoretical_and_practical_understanding,Developing_new_ideas, Grant_writing,Influencing_others,Valuing_others,Working_constructively,Navigating_politics,Internship,prepare_job_materials,Individual_development_plan,Comprehensive_examination,Doctoral_dissertation_process,Citizenship,Income,Survey_Year
GSAS,Anthropology,2008,0,5,2,1,2,1,1,1,4,1,2,1,1,1,2,4,5,5,2,4,2,2,2,2,2,4,4,2,5,2,2,2,2,0,1,1,4,4,4,4,4,4,2,2,2,4,2,1,3,2,4,3,3,U.S. citizen,"$40,000-$49,999",2019
GSAS,Hebrew & Judaic Studies/History,2008,5,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,4,4,2,2,1,4,2,1,2,1,4,4,4,1,4,2,4,1,0,0,2,1,2,2,4,4,4,2,2,2,2,1,3,4,2,4,1,U.S. citizen,"$60,000-$69,999",2019
GSAS,Comparative Literature,2009,5,2,4,2,0,2,4,2,4,4,0,2,4,0,5,4,5,5,4,1,4,5,2,5,2,1,4,4,5,0,4,2,5,1,0,0,4,2,4,4,4,2,4,2,4,1,4,1,2,0,3,0,2,Temporary resident (non-U.S. citizen),"$60,000-$69,999",2019
GSAS,Linguistics,2001,5,1,4,4,4,1,4,2,4,2,2,4,4,0,5,5,5,4,2,2,2,5,5,4,4,2,5,5,4,1,5,2,4,1,1,0,5,2,5,5,5,5,5,2,4,2,4,4,2,4,4,4,4,U.S. citizen,"$100,000-$149,999",2019
GSAS,Classics,2007,4,4,5,4,4,5,4,2,4,4,4,5,4,4,4,4,5,5,5,5,5,4,4,4,5,2,4,2,2,2,2,4,2,0,1,1,5,4,5,5,4,4,2,1,2,5,4,5,4,3,3,3,3,U.S. citizen,"$70,000-$79,999",2019
GSAS,Comparative Literature,1991,5,2,2,2,4,2,4,2,4,4,0,1,4,0,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,4,5,1,1,0,5,2,5,5,5,5,5,2,2,5,2,2,3,4,3,3,4,U.S. citizen,"$70,000-$79,999",2019
GSAS,Psychology,1998,5,1,2,2,5,4,5,4,2,5,5,1,2,0,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,4,5,1,0,0,4,2,4,4,4,4,5,1,2,2,2,2,3,3,3,2,4,U.S. citizen,"$150,000 or more",2019
GSAS,Middle Eastern Studies,2008,5,4,4,4,5,4,4,2,2,2,2,2,1,0,2,4,4,2,2,1,5,4,5,2,4,2,4,4,4,2,4,1,4,1,0,1,4,4,4,2,4,4,4,2,1,2,2,4,4,3,3,4,3,U.S. citizen,"$80,000-$89,999",2019
GSAS,Spanish & Portuguese Languages & Literatures,2007,5,4,4,4,4,4,4,2,4,2,4,4,4,0,4,4,4,2,2,4,4,4,2,2,4,2,4,4,4,2,4,1,4,1,0,1,1,4,4,4,4,2,4,1,1,4,2,1,3,1,1,2,4,Permanent U.S. resident (Green card holder),"$70,000-$79,999",2019
GSAS,Classics,2003,5,1,2,4,1,4,5,4,5,4,5,1,2,0,5,5,5,4,5,4,5,5,4,2,4,4,4,2,2,5,4,2,5,1,1,1,4,1,1,5,5,2,4,2,0,5,4,0,3,2,2,3,4,U.S. citizen,"$60,000-$69,999",2019
GSAS,French Studies,2000,4,0,0,0,5,0,0,2,2,1,1,2,0,1,1,2,2,0,1,1,4,2,5,2,4,2,1,4,2,2,2,2,0,1,0,1,2,4,2,4,4,1,1,0,1,2,1,1,3,1,2,1,2,U.S. citizen,"Less than $20,000",2019
GSAS,Psychology,2011,5,1,2,5,0,5,5,1,5,0,1,4,2,0,4,4,5,5,1,2,4,5,5,5,5,2,4,4,5,2,5,2,4,1,0,0,2,2,4,2,5,5,5,1,2,2,2,2,2,4,3,4,4,U.S. citizen,"$80,000-$89,999",2019
GSAS,Anthropology,2010,5,5,5,5,4,5,5,5,5,4,4,5,5,0,5,4,5,5,4,4,4,5,2,5,2,4,2,4,5,4,2,2,4,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,4,U.S. citizen,"$150,000 or more",2019
GSAS,History,1995,5,4,3,4,2,4,5,4,4,2,2,2,3,0,5,4,5,4,2,1,5,5,4,4,1,2,5,4,4,2,4,4,5,1,1,0,4,5,4,5,5,5,4,2,2,5,2,2,3,4,3,4,4,U.S. citizen,"$100,000-$149,999",2019
GSAS,Politics,2003,3,4,3,3,1,3,3,2,3,1,2,2,3,1,4,3,4,4,3,3,3,4,3,3,3,3,4,4,3,2,3,2,3,1,0,0,2,1,1,1,4,4,4,2,2,2,2,1,3,3,1,2,2,Permanent U.S. resident (Green card holder),"Less than $20,000",2019
GSAS,Anthropology,2004,5,2,2,2,2,4,4,2,4,4,1,2,2,0,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,1,0,0,5,4,2,4,5,5,5,2,2,4,5,4,4,4,4,4,3,U.S. citizen,"$90,000-$99,999",2019
GSAS,Biology,1997,5,1,0,2,4,2,4,1,4,1,2,4,2,0,2,2,5,4,1,4,2,5,2,2,5,2,5,4,4,0,2,0,4,1,0,0,4,0,4,4,4,4,4,0,1,0,4,0,1,2,2,2,3,Temporary resident (non-U.S. citizen),Missing,2019
GSAS,Environmental Health Science,2004,5,2,2,2,2,2,2,2,2,2,4,0,0,0,4,5,5,5,4,4,4,4,4,5,5,2,5,5,5,2,5,2,4,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,4,U.S. citizen,"$20,000-$29,999",2019
GSAS,Comparative Literature,2008,5,2,0,2,4,4,4,3,4,3,4,4,3,2,5,4,4,4,4,5,4,5,4,4,5,4,4,4,5,4,4,4,4,0,1,0,5,5,5,5,5,5,5,0,5,5,5,3,4,4,4,4,4,U.S. citizen,"$30,000-$39,999",2019
GSAS,Law & Society,2003,5,2,4,5,5,4,5,2,5,5,4,1,2,4,4,4,5,5,5,4,5,4,4,2,4,2,5,4,2,1,5,4,4,0,1,1,5,5,1,4,5,5,2,1,2,5,2,0,3,2,4,4,4,U.S. citizen,"$100,000-$149,999",2019
GSAS,Economics,1997,5,5,4,4,4,5,4,5,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,1,1,1,4,2,1,4,4,4,4,2,2,4,4,1,4,4,3,4,3,U.S. citizen,"$150,000 or more",2019
GSAS,Physics,2003,4,5,4,2,5,1,4,2,4,4,5,4,4,2,1,5,4,2,1,2,1,5,2,1,4,1,2,4,2,0,2,2,1,1,0,0,1,1,1,4,2,1,1,1,1,2,1,1,2,1,2,1,2,Temporary resident (non-U.S. citizen),"$90,000-$99,999",2019
GSAS,Sociology,2008,4,5,4,5,4,5,4,5,4,0,5,5,4,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,1,1,5,4,4,4,5,4,4,0,2,2,4,4,4,3,2,1,4,Temporary resident (non-U.S. citizen),"$50,000-$59,999",2019
GSAS,Music,1992,4,2,4,4,4,0,2,5,2,4,5,0,0,0,2,5,2,5,5,5,5,4,5,2,5,5,5,4,2,4,5,4,4,1,0,1,4,4,5,4,4,5,2,5,4,5,2,4,4,3,3,4,4,U.S. citizen,"$80,000-$89,999",2019
GSAS,English,2006,5,2,4,4,4,4,4,4,4,2,2,1,2,0,4,4,5,5,5,2,5,5,4,2,5,4,5,4,5,4,4,4,5,1,0,1,4,4,5,2,5,5,2,2,5,4,2,2,3,3,4,4,4,Permanent U.S. resident (Green card holder),"$60,000-$69,999",2019
GSAS,Environmental Health Science,2011,4,2,2,2,1,4,4,2,2,4,2,1,2,1,2,4,5,5,2,4,4,2,4,2,2,2,2,2,4,1,2,2,2,0,1,0,2,1,2,2,4,2,2,2,1,1,2,1,3,2,2,0,2,U.S. citizen,"$90,000-$99,999",2019
Missing,Missing,Missing,5,3,3,4,3,2,4,3,3,3,3,3,3,0,5,4,5,4,3,3,3,4,4,4,4,3,4,4,4,2,4,2,4,1,1,1,3,3,4,4,4,4,4,2,3,3,3,3,3,3,2,1,3,Missing,Missing,2019
Missing,Missing,Missing,5,3,3,4,3,2,4,3,3,3,3,3,3,0,5,4,5,4,3,3,3,4,4,4,4,3,4,4,4,2,4,2,4,1,1,1,3,3,4,4,4,4,4,2,3,3,3,3,3,3,2,1,3,Missing,Missing,2019
GSAS,Environmental Health Science,2011,5,2,5,5,5,5,5,5,5,5,5,2,0,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,5,2,5,1,1,0,4,1,1,5,5,2,4,2,2,4,2,1,4,4,3,4,4,U.S. citizen,"$90,000-$99,999",2019
GSAS,Psychology,2005,5,2,4,5,2,4,5,4,4,4,4,2,4,0,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,3,5,4,5,1,0,0,5,4,4,5,5,4,4,3,5,4,4,2,2,3,3,4,3,U.S. citizen,"$70,000-$79,999",2019
GSAS,Hebrew & Judaic Studies,1996,5,0,0,4,5,0,2,0,5,5,1,0,0,0,5,5,5,5,5,5,5,5,2,2,5,4,4,5,5,2,5,2,2,1,0,0,2,2,4,0,4,4,4,0,1,2,4,0,1,2,3,2,4,U.S. citizen,"$70,000-$79,999",2019
GSAS,Anthropology,2009,5,0,0,0,4,5,5,4,0,0,0,1,4,0,5,4,5,4,2,2,2,5,4,5,4,2,5,5,5,2,5,4,5,1,1,1,4,5,2,5,5,4,5,5,5,5,5,4,2,4,1,1,4,U.S. citizen,"$40,000-$49,999",2019
Tandon/Polytechnic,Missing,2011,5,2,2,4,4,4,4,2,4,2,5,4,4,2,2,5,4,2,2,2,2,4,4,4,4,4,4,1,2,2,4,2,2,1,1,0,1,1,0,4,1,1,1,0,0,0,1,0,2,1,1,0,0,Permanent U.S. resident (Green card holder),"$100,000-$149,999",2019
GSAS,Psychology,2005,4,3,4,3,3,3,5,3,3,3,3,2,3,2,4,4,4,4,4,4,3,4,4,4,5,3,4,4,4,2,4,3,4,1,1,1,5,4,5,5,5,2,2,5,4,5,4,4,3,3,3,4,4,U.S. citizen,"$150,000 or more",2019
Tandon/Polytechnic,Missing,1997,3,4,4,5,3,4,4,3,4,2,3,3,3,0,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,2,3,3,4,1,0,0,2,1,2,2,2,5,4,0,2,4,1,0,2,3,2,3,3,U.S. citizen,"$100,000-$149,999",2019
Tandon/Polytechnic,Missing,2008,4,1,0,5,4,5,5,0,4,4,2,4,2,2,4,2,5,4,0,4,0,5,4,1,5,0,1,2,4,0,2,1,2,1,0,0,4,1,1,1,2,2,2,0,1,4,2,1,3,4,4,3,4,U.S. citizen,"$20,000-$29,999",2019
Tandon/Polytechnic,Missing,2011,5,4,2,2,4,4,5,4,2,5,4,2,2,2,5,5,5,5,2,5,5,5,5,4,5,5,5,5,5,2,5,2,5,1,0,1,4,4,5,4,5,4,5,4,4,5,4,2,4,4,4,2,3,Permanent U.S. resident (Green card holder),"$100,000-$149,999",2019
GSAS,Politics,1998,5,2,2,4,4,4,4,1,4,2,4,4,4,0,5,5,5,5,2,4,5,5,5,5,5,4,5,5,5,4,2,4,2,1,1,0,5,5,4,5,5,5,5,2,4,5,4,1,2,4,3,4,3,U.S. citizen,"$150,000 or more",2019
GSAS,Sociology,2004,4,5,5,5,5,2,2,2,2,2,2,2,1,2,4,1,4,5,5,5,5,5,5,1,5,2,5,5,5,0,5,5,5,0,1,1,1,2,4,2,5,4,5,0,4,2,2,0,4,2,2,0,0,U.S. citizen,"$80,000-$89,999",2019
GSAS,Psychology,2010,5,1,2,2,4,5,5,4,4,4,1,4,2,0,4,5,5,5,4,5,5,5,5,4,2,2,5,2,5,2,4,4,4,0,0,1,4,5,4,2,5,5,5,2,2,4,2,2,0,0,0,1,2,U.S. citizen,"$100,000-$149,999",2019
GSAS,Neural Science,2005,4,4,4,3,2,4,4,4,4,3,3,3,3,2,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,3,5,4,4,1,1,0,5,4,5,5,5,5,5,5,5,4,5,4,3,4,4,3,4,U.S. citizen,"$50,000-$59,999",2019
GSAS,Italian Languages & Literatures,2004,4,2,4,2,4,2,4,2,2,4,4,2,2,4,4,5,5,5,5,5,5,5,4,4,5,4,5,5,4,2,2,5,2,0,0,0,5,5,5,5,4,4,1,4,5,5,5,5,4,4,4,3,3,U.S. citizen,"$80,000-$89,999",2019
GSAS,American Studies,2005,5,2,4,4,4,2,2,2,4,4,2,1,1,2,2,5,4,2,2,4,1,4,4,1,5,4,5,5,4,1,4,1,5,1,0,0,2,2,0,2,5,4,4,0,1,2,0,4,3,2,4,4,1,U.S. citizen,"$70,000-$79,999",2019
GSAS,Law & Society,2004,5,2,2,2,5,2,5,4,4,4,4,1,2,2,5,4,5,4,5,2,5,5,5,5,4,4,4,5,5,4,4,4,4,1,0,1,2,4,4,1,2,2,2,4,2,4,2,1,0,1,0,3,4,U.S. citizen,"$100,000-$149,999",2019
GSAS,Basic Medical Sciences,2010,5,2,4,4,4,4,4,2,4,4,5,4,4,0,4,4,4,4,4,5,5,4,2,2,4,2,4,4,4,2,2,4,2,1,1,0,4,1,2,4,4,4,4,2,2,1,2,4,4,3,4,3,3,U.S. citizen,"$50,000-$59,999",2019
GSAS,Mathematics,2005,5,2,2,2,2,2,4,2,4,2,4,4,2,0,5,4,5,5,4,4,4,5,5,5,5,4,5,5,5,4,5,2,4,1,0,0,5,1,1,4,5,5,5,1,2,1,2,1,2,3,2,3,4,Permanent U.S. resident (Green card holder),"$100,000-$149,999",2019
Tandon/Polytechnic,Missing,2009,5,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,4,2,2,4,4,4,2,2,2,2,1,1,1,4,4,4,4,4,4,4,2,4,4,4,2,4,4,3,2,3,Permanent U.S. resident (Green card holder),"$150,000 or more",2019
Tandon/Polytechnic,Missing,2012,5,4,4,4,4,4,5,2,5,4,4,4,4,0,5,2,4,4,2,2,2,4,4,4,4,4,5,4,2,4,2,2,5,1,1,0,4,4,4,4,4,5,4,1,4,2,1,4,3,4,2,3,3,Temporary resident (non-U.S. citizen),"$100,000-$149,999",2019
GSAS,History,2000,5,4,4,4,0,4,4,4,4,4,4,4,4,0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,1,0,0,2,2,1,2,2,2,2,2,1,2,1,1,3,1,2,1,2,U.S. citizen,"$100,000-$149,999",2019
GSAS,History,2008,5,4,2,2,4,4,4,1,2,2,2,2,2,0,5,5,5,5,5,4,4,5,5,5,4,4,5,4,5,2,2,2,5,1,1,0,5,4,5,5,5,5,1,4,4,5,5,1,4,4,4,4,4,U.S. citizen,"$80,000-$89,999",2019
GSAS,Italian Languages & Literatures,2004,5,4,5,1,4,1,4,2,4,5,2,2,0,0,5,5,1,5,5,5,5,4,4,5,4,4,5,1,2,1,0,5,4,0,1,1,2,2,2,2,4,2,2,0,1,5,4,1,3,1,3,2,4,U.S. citizen,"$50,000-$59,999",2019
GSAS,Economics,2004,5,2,1,2,4,2,4,2,1,4,1,4,2,2,3,4,4,3,3,3,5,3,4,3,5,3,4,4,5,2,4,3,5,1,1,0,5,0,4,1,5,4,4,2,2,1,1,0,2,3,2,3,4,Permanent U.S. resident (Green card holder),"$150,000 or more",2019
GSAS,Hebrew & Judaic Studies/History,2002,5,2,2,4,2,2,4,4,2,4,4,4,4,2,4,2,2,4,2,2,4,4,4,4,2,4,2,2,4,1,2,1,2,1,1,0,4,1,5,2,4,5,4,2,1,1,1,4,3,3,3,3,4,U.S. citizen,"$80,000-$89,999",2019
GSAS,Linguistics,2001,5,2,1,2,5,5,2,2,4,4,0,1,4,1,2,5,4,4,2,4,2,2,4,5,4,2,4,2,2,1,2,2,2,1,1,1,2,1,2,4,2,2,2,1,1,2,2,1,2,1,2,1,2,U.S. citizen,"$90,000-$99,999",2019
GSAS,Music,2008,4,0,1,0,4,4,4,2,4,2,1,2,2,4,4,4,1,4,1,4,2,2,4,4,1,4,5,1,1,5,4,2,2,0,1,1,4,4,4,4,5,5,4,4,4,4,4,2,1,2,3,0,2,Temporary resident (non-U.S. citizen),"$20,000-$29,999",2019
GSAS,Anthropology,1998,5,2,4,4,4,2,4,2,4,4,2,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,1,0,0,4,2,2,2,4,4,4,2,2,2,4,1,3,3,3,3,4,U.S. citizen,"$90,000-$99,999",2019
GSAS,Italian Languages & Literatures,2001,5,1,2,5,4,2,4,0,5,4,1,4,2,0,5,4,5,5,4,4,4,5,4,5,5,4,5,5,5,2,2,4,5,1,0,1,5,5,5,5,5,5,5,5,4,5,4,2,3,4,4,4,4,Temporary resident (non-U.S. citizen),"$40,000-$49,999",2019
GSAS,Basic Medical Sciences,2003,4,3,3,3,3,3,4,3,3,2,2,1,2,2,3,4,4,4,4,3,5,4,3,3,4,3,3,3,4,2,4,4,3,1,0,0,5,1,4,2,5,4,4,1,2,2,2,1,4,2,2,2,3,U.S. citizen,"$30,000-$39,999",2019
GSAS,French Languages & Literatures,2009,5,2,2,4,5,4,4,4,4,4,4,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,4,2,4,2,4,2,4,2,2,2,2,2,4,2,2,3,4,U.S. citizen,"$50,000-$59,999",2019
GSAS,Neural Science,2010,4,4,2,1,2,2,4,4,2,1,1,4,2,4,5,4,5,5,1,4,5,4,4,5,4,2,5,4,5,1,2,2,4,1,1,1,4,4,4,4,4,4,5,2,2,2,4,4,3,4,0,2,3,Temporary resident (non-U.S. citizen),"$150,000 or more",2019
GSAS,Comparative Literature,2006,5,1,0,1,4,1,4,2,4,2,4,1,1,2,4,4,2,5,2,2,5,4,4,1,4,0,4,4,5,2,5,1,4,0,1,1,4,4,4,4,4,4,4,2,2,4,4,4,4,3,3,2,4,U.S. citizen,"Less than $20,000",2019
GSAS,American Studies,2003,0,2,2,4,4,2,4,4,2,5,2,2,2,0,4,4,4,5,2,4,5,2,4,2,4,2,4,4,5,0,0,2,4,0,0,0,1,4,2,1,2,1,1,1,4,2,1,2,2,1,2,1,2,U.S. citizen,"$70,000-$79,999",2019
GSAS,Anthropology,2001,5,4,4,4,4,2,5,2,5,4,2,1,1,0,5,5,5,4,4,5,5,5,5,5,2,5,5,5,5,2,5,4,5,1,0,0,5,4,4,4,4,5,4,4,5,4,4,1,2,4,4,3,3,Permanent U.S. resident (Green card holder),"$60,000-$69,999",2019
GSAS,Hebrew & Judaic Studies,2003,5,4,4,4,4,4,4,4,4,4,3,4,4,2,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,4,5,4,5,1,1,1,2,1,1,5,4,2,1,0,0,2,4,0,3,0,4,4,4,Permanent U.S. resident (Green card holder),"$40,000-$49,999",2019
GSAS,Psychology,2004,5,2,1,5,4,2,2,1,4,1,0,2,5,0,4,4,4,4,1,4,4,5,2,2,4,2,4,4,4,0,5,2,4,1,0,0,2,2,4,2,4,4,4,2,1,2,4,1,3,2,2,3,4,Temporary resident (non-U.S. citizen),"$100,000-$149,999",2019
Tandon/Polytechnic,Missing,2011,5,1,1,2,4,4,4,2,4,5,4,5,4,0,2,4,5,2,4,5,1,5,2,5,2,5,4,5,4,2,2,5,4,1,1,1,5,5,5,4,4,5,5,2,5,5,5,1,3,3,3,3,4,U.S. citizen,Don't know,2019
GSAS,Environmental Health Science,2011,5,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,5,5,4,5,4,2,5,4,5,4,2,4,4,2,4,4,4,1,1,1,2,2,4,2,4,2,2,2,2,2,2,2,4,3,3,3,3,U.S. citizen,"$90,000-$99,999",2019
GSAS,Economics,1998,5,1,2,4,4,2,4,2,2,4,2,4,2,1,4,4,5,4,4,4,2,4,2,5,4,2,2,2,2,4,2,2,2,1,1,0,4,2,4,2,4,4,4,2,2,2,2,4,3,3,3,4,4,Temporary resident (non-U.S. citizen),"$90,000-$99,999",2019
GSAS,Sociology,1997,4,4,4,1,4,1,2,1,4,1,1,1,1,4,5,4,5,5,5,5,5,2,4,2,5,2,4,1,4,1,1,5,2,1,1,1,2,4,1,5,5,2,4,2,1,2,2,1,3,3,2,2,3,U.S. citizen,"$150,000 or more",2019
GSAS,Economics,2005,5,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,Temporary resident (non-U.S. citizen),"$80,000-$89,999",2019
GSAS,Environmental Health Science,2011,5,4,1,4,5,2,2,2,4,4,5,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,5,2,4,5,4,4,4,2,2,2,4,2,4,3,4,2,4,U.S. citizen,"$100,000-$149,999",2019
GSAS,Anthropology,1990,5,2,4,0,2,2,2,2,2,4,1,0,2,0,4,4,2,4,2,0,4,2,1,1,2,2,4,2,0,1,4,2,1,0,0,0,1,5,5,4,5,5,4,5,4,5,4,2,3,4,3,4,3,U.S. citizen,"$100,000-$149,999",2019
GSAS,Economics,1998,5,4,4,2,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,4,1,2,2,5,2,2,1,4,4,4,1,3,3,3,2,4,Temporary resident (non-U.S. citizen),"$90,000-$99,999",2019
Tandon/Polytechnic,Missing,2011,5,4,4,4,4,2,4,2,2,1,4,2,2,0,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,1,1,1,2,1,4,4,2,4,2,0,1,2,2,1,4,3,2,0,2,U.S. citizen,"$150,000 or more",2019
GSAS,Politics,2002,5,5,4,4,0,2,5,4,5,2,0,5,2,0,5,4,5,5,0,4,4,5,4,4,5,0,5,4,5,1,5,2,4,1,1,1,2,2,2,4,4,4,4,1,4,2,2,1,2,4,3,4,4,U.S. citizen,"$100,000-$149,999",2019
GSAS,Anthropology,1996,5,2,2,4,5,2,5,2,4,4,1,2,2,0,5,4,5,4,4,4,4,5,5,4,5,4,4,4,5,1,4,4,5,1,0,0,5,4,5,5,5,5,5,2,4,5,5,4,3,4,4,4,3,U.S. citizen,"$100,000-$149,999",2019
GSAS,Mathematics,2011,4,4,4,4,2,4,5,3,4,3,3,2,4,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,5,5,1,1,0,5,4,5,5,5,5,5,2,5,5,5,5,4,4,4,4,3,Temporary resident (non-U.S. citizen),"$100,000-$149,999",2019
GSAS,Biology,2012,3,3,3,3,3,4,3,3,3,2,2,1,3,2,3,4,2,4,3,4,4,3,3,3,4,2,4,2,3,1,2,2,2,0,0,0,1,1,2,2,1,1,2,1,1,2,2,1,1,0,0,1,1,U.S. citizen,"Less than $20,000",2019
GSAS,Psychology,2011,5,2,2,4,5,4,4,4,5,4,4,1,2,0,5,4,5,2,5,4,4,5,4,4,2,4,5,5,5,2,2,2,5,1,0,0,5,5,5,4,5,5,5,2,1,4,2,1,2,4,2,3,4,U.S. citizen,"$80,000-$89,999",2019
GSAS,Italian Languages & Literatures,2003,5,4,4,4,4,4,4,4,4,4,2,4,4,4,5,5,5,5,4,0,0,5,5,5,5,2,5,5,5,4,5,2,5,1,1,1,5,5,5,5,5,5,5,5,2,4,2,2,2,4,3,4,4,Temporary resident (non-U.S. citizen),"$80,000-$89,999",2019
